MarketID,MarketName,Latitude,Longitude,District,Province,County,IsRefugeeCamp,RefugeeComplex
184,Nairobi,-1.28,36.82,Nairobi,Nairobi,Nairobi,False,
185,Eldoret town (Uasin Gishu),0.52,35.28,Uasin Gishu,Rift Valley,Uasin Gishu,False,
186,Kisumu,-0.1,34.75,Kisumu,Nyanza,Kisumu,False,
187,Kitui,-1.37,38.02,Kitui,Eastern,Kitui,False,
188,Lodwar (Turkana),3.12,35.6,Turkana,Rift Valley,Turkana,False,
189,Mandera,3.94,41.86,Mandera,North Eastern,Mandera,False,
190,Marsabit,2.33,37.98,Marsabit,Eastern,Marsabit,False,
191,Mombasa,-4.05,39.67,Mombasa,Coast,Mombasa,False,
1850,Nakuru,-0.28,36.07,Nakuru,Rift Valley,Nakuru,False,
1851,Marigat (Baringo),0.46,35.96,Baringo,Rift Valley,Baringo,False,
1852,Kilifi,-3.63,39.85,Kilifi,Coast,Kilifi,False,
1853,Kajiado,-1.84,36.79,Kajiado,Rift Valley,Kajiado,False,
1854,Hola (Tana River),,,Tana River,Coast,Tana River,False,
1855,Garissa,-0.46,39.65,Garissa,North Eastern,Garissa,False,
3243,Dadaab town,0.06,40.31,Garissa,North Eastern,Garissa,True,Dadaab
3244,Kalobeyei (Village 1),3.77,34.73,Turkana,Rift Valley,Turkana,True,Kalobeyei
3245,Mogadishu (Kakuma),3.72,34.85,Turkana,Rift Valley,Turkana,True,Kakuma
3246,Kalobeyei (Village 2),3.76,34.75,Turkana,Rift Valley,Turkana,True,Kalobeyei
3247,Kalobeyei (Village 3),3.75,34.76,Turkana,Rift Valley,Turkana,True,Kalobeyei
3248,Kakuma 2,3.75,34.82,Turkana,Rift Valley,Turkana,True,Kakuma
3249,Kakuma 4,3.74,34.81,Turkana,Rift Valley,Turkana,True,Kakuma
3250,HongKong (Kakuma),3.75,34.84,Turkana,Rift Valley,Turkana,True,Kakuma
3251,Kakuma 3,3.77,34.82,Turkana,Rift Valley,Turkana,True,Kakuma
3252,Dagahaley (Daadab),0.19,40.29,Garissa,North Eastern,Garissa,True,Dadaab
3253,Ethiopia (Kakuma),3.72,34.85,Turkana,Rift Valley,Turkana,True,Kakuma
3254,Hagadera (Daadab),0.01,40.37,Garissa,North Eastern,Garissa,True,Dadaab
3255,IFO (Daadab),0.11,40.32,Garissa,North Eastern,Garissa,True,Dadaab
3256,Kakuma town,3.71,34.86,Turkana,Rift Valley,Turkana,True,Kakuma
3258,Kalokol,3.54,35.86,Turkana,Rift Valley,Turkana,False,
3262,Isiolo town,0.35,37.58,Isiolo,Eastern,Isiolo,False,
3263,El Wak,2.81,40.93,Mandera,North Eastern,Mandera,False,
3266,Rhamu,3.93,41.22,Mandera,North Eastern,Mandera,False,
3267,Takaba (Mandera),3.39,40.23,Mandera,North Eastern,Mandera,False,
3269,Moyale town,3.51,39.05,Moyale,Eastern,Marsabit,False,
3271,Wajir town,1.75,40.06,Wajir,North Eastern,Wajir,False,
3355,Marigat town (Baringo),0.47,35.98,Baringo,Rift Valley,Baringo,False,
3356,Garissa town (Garissa),-0.46,39.64,Garissa,North Eastern,Garissa,False,
3357,Mandera town,3.94,41.85,Mandera,North Eastern,Mandera,False,
3358,Marsabit town,2.33,37.99,Marsabit,Eastern,Marsabit,False,
3359,Hola town,-1.5,40.03,Tana River,Coast,Tana River,False,
3360,Lodwar town,3.12,35.6,Turkana,Rift Valley,Turkana,False,
4235,Junda (Mombasa),-4.01,39.68,Mombasa,Coast,Mombasa,False,
4236,Moroto (Mombasa),-4.03,39.66,Mombasa,Coast,Mombasa,False,
4238,Bangladesh (Mombasa),-4.01,39.63,Mombasa,Coast,Mombasa,False,
4239,Kalahari (Mombasa),-4.03,39.63,Mombasa,Coast,Mombasa,False,
4242,Shonda (Mombasa),-4.11,39.65,Mombasa,Coast,Mombasa,False,
4244,Shauri Yako,-4.04,39.69,Mombasa,Coast,Mombasa,False,
4245,Kisumu Ndogo (Mombasa),-4.04,39.69,Mombasa,Coast,Mombasa,False,
4525,Lpus,0.89,37.06,Samburu,Rift Valley,Samburu,False,
4526,Kisima,0.95,36.77,Samburu,Rift Valley,Samburu,False,
4528,Lengusaka,0.88,37.32,Samburu,Rift Valley,Samburu,False,
4531,Lolkuniyani,1.06,37.23,Samburu,Rift Valley,Samburu,False,
4532,Loosuk,1.02,36.58,Samburu,Rift Valley,Samburu,False,
4533,Maralal,1.1,36.7,Samburu,Rift Valley,Samburu,False,
4535,Suguta,0.83,36.69,Samburu,Rift Valley,Samburu,False,
4536,Wamba,0.98,37.32,Samburu,Rift Valley,Samburu,False,
4624,Mathare (Nairobi),-1.26,36.86,Nairobi,Nairobi,Nairobi,False,
4625,Kawangware (Nairobi),-1.28,36.74,Nairobi,Nairobi,Nairobi,False,
4626,Kangemi (Nairobi),-1.27,36.74,Nairobi,Nairobi,Nairobi,False,
4627,Kibra (Nairobi),-1.32,36.78,Nairobi,Nairobi,Nairobi,False,
4628,Dandora (Nairobi),-1.25,36.9,Nairobi,Nairobi,Nairobi,False,
4629,Mukuru (Nairobi),-1.3,36.88,Nairobi,Nairobi,Nairobi,False,
5664,Illbissil Food Market (Kajiado),-2.1,36.79,Kajiado,Rift Valley,Kajiado,False,
5665,Tala Centre Market (Machakos),-1.27,37.32,Machakos,Eastern,Machakos,False,
5666,Kathonzweni (Makueni),-1.91,37.73,Makueni,Eastern,Makueni,False,
5667,Makueni,-1.81,37.62,Makueni,Eastern,Makueni,False,
5668,Kaanwa (Tharaka Nithi),-0.32,37.72,Meru South,Eastern,Tharaka-Nithi,False,
5669,Wakulima (Nakuru),-0.3,36.08,Nakuru,Rift Valley,Nakuru,False,
5670,Karatina (Nyeri),-0.48,37.13,Nyeri,Central,Nyeri,False,
5671,Kibuye (Kisumu),-0.09,34.77,Kisumu,Nyanza,Kisumu,False,
5672,Kongowea (Mombasa),-4.06,39.66,Mombasa,Coast,Mombasa,False,
5697,Kitengela (Kajiado),-1.29,36.86,Nairobi,Nairobi,Nairobi,False,
5698,Wakulima (Nairobi),-1.29,36.83,Nairobi,Nairobi,Nairobi,False,
5892,Kitui town (Kitui),-1.36,38.01,Kitui,Eastern,Kitui,False,
5893,Vanga (Kwale),-4.66,39.22,Kwale,Coast,Kwale,False,
5894,Lokichar (Turkana),2.38,35.65,Turkana,Rift Valley,Turkana,False,
5896,Lomut (West Pokot),1.44,35.57,West Pokot,Rift Valley,West Pokot,False,
5897,Makutano (West Pokot),1.25,35.08,West Pokot,Rift Valley,West Pokot,False,
6109,Kalobeyei town,3.77,34.62,Turkana,Rift Valley,Turkana,True,Kalobeyei
6218,Laisamis Town,1.58,37.8,Marsabit,Eastern,Marsabit,False,
6219,Maikona,2.92,37.63,Marsabit,Eastern,Marsabit,False,
6220,Merille Town,1.42,37.72,Marsabit,Eastern,Marsabit,False,
6222,North Horr,3.32,37.07,Marsabit,Eastern,Marsabit,False,
6224,Korr,2.01,37.5,Marsabit,Eastern,Marsabit,False,
6225,Kargi,2.49,37.56,Marsabit,Eastern,Marsabit,False,
6226,Loyangalani,2.76,36.72,Marsabit,Eastern,Marsabit,False,
6229,Sololo,3.56,38.65,Moyale,Eastern,Marsabit,False,
6352,Wote town (Makueni),-1.79,37.63,Makueni,Eastern,Makueni,False,
6644,Griftu,2.0,39.75,Wajir,North Eastern,Wajir,False,
6645,Eldas,2.49,39.57,Wajir,North Eastern,Wajir,False,
6647,Tarbaj,2.21,40.12,Wajir,North Eastern,Wajir,False,
6648,Buna,2.79,39.5,Wajir,North Eastern,Wajir,False,
6650,Bute,3.36,39.42,Wajir,North Eastern,Wajir,False,
