Date,MarketID,CommodityID,Price,PricePerKg,PricePerLitre,UsdPrice,Unit,PriceType
2006-01-15,191,51,16.13,16.13,,0.22,KG,Wholesale
2006-01-15,191,67,1480.0,16.444444444444443,,20.58,90 KG,Wholesale
2006-01-15,191,50,33.63,33.63,,0.47,KG,Wholesale
2006-01-15,191,262,3246.0,36.06666666666667,,45.15,90 KG,Wholesale
2006-01-15,187,67,17.0,17.0,,0.24,KG,Retail
2006-01-15,187,148,1249.99,24.9998,,17.39,50 KG,Wholesale
2006-01-15,190,67,21.0,21.0,,0.29,KG,Retail
2006-01-15,184,55,26.0,65.0,,0.36,400 G,Retail
2006-01-15,184,67,1399.0,15.544444444444444,,19.46,90 KG,Wholesale
2006-01-15,184,148,664.43,13.288599999999999,,9.24,50 KG,Wholesale
2006-01-15,184,472,22.0,,44.0,0.31,500 ML,Retail
2006-01-15,184,96,115.0,,115.0,1.6,L,Retail
2006-01-15,184,50,42.31,42.31,,0.59,KG,Wholesale
2006-01-15,189,67,30.0,30.0,,0.42,KG,Retail
2006-01-15,186,67,1320.0,14.666666666666666,,18.36,90 KG,Wholesale
2006-01-15,186,148,1074.07,21.481399999999997,,14.94,50 KG,Wholesale
2006-01-15,186,65,1600.0,17.77777777777778,,22.25,90 KG,Wholesale
2006-01-15,186,50,39.61,39.61,,0.55,KG,Wholesale
2006-01-15,188,67,26.0,26.0,,0.36,KG,Retail
2006-01-15,185,51,12.96,12.96,,0.18,KG,Wholesale
2006-01-15,185,67,1192.0,13.244444444444444,,16.58,90 KG,Wholesale
2006-01-15,185,50,45.85,45.85,,0.64,KG,Wholesale
2006-02-15,191,51,16.41,16.41,,0.23,KG,Wholesale
2006-02-15,191,67,1523.0,16.92222222222222,,21.24,90 KG,Wholesale
2006-02-15,191,50,39.48,39.48,,0.55,KG,Wholesale
2006-02-15,187,67,18.0,18.0,,0.25,KG,Retail
2006-02-15,187,148,1555.55,31.111,,21.7,50 KG,Wholesale
2006-02-15,187,65,2000.0,22.22222222222222,,27.89,90 KG,Wholesale
2006-02-15,187,262,42.0,42.0,,0.59,KG,Retail
2006-02-15,184,51,16.41,16.41,,0.23,KG,Wholesale
2006-02-15,184,67,1488.0,16.533333333333335,,20.75,90 KG,Wholesale
2006-02-15,184,148,694.44,13.888800000000002,,9.69,50 KG,Wholesale
2006-02-15,184,96,120.0,,120.0,1.67,L,Retail
2006-02-15,184,262,3485.0,38.72222222222222,,48.61,90 KG,Wholesale
