MarketID,MarketName,Province,District,County,IsRefugeeCamp,RefugeeComplex,Latitude,Longitude,RecordCount
184,Nairobi,Nairobi,Nairobi,Nairobi,FALSE,,-1.28,36.82,1222
185,Eldoret town (Uasin Gishu),Rift Valley,Uasin Gishu,Uasin Gishu,FALSE,,0.52,35.28,1052
186,Kisumu,Nyanza,Kisumu,Kisumu,FALSE,,-0.1,34.75,744
187,Kitui,Eastern,Kitui,Kitui,FALSE,,-1.37,38.02,477
188,Lodwar (Turkana),Rift Valley,Turkana,Turkana,FALSE,,3.12,35.6,116
189,Mandera,North Eastern,Mandera,Mandera,FALSE,,3.94,41.86,193
190,Marsabit,Eastern,Marsabit,Marsabit,FALSE,,2.33,37.98,169
191,Mombasa,Coast,Mombasa,Mombasa,FALSE,,-4.05,39.67,435
1850,Nakuru,Rift Valley,Nakuru,Nakuru,FALSE,,-0.28,36.07,377
1851,Marigat (Baringo),Rift Valley,Baringo,Baringo,FALSE,,0.46,35.96,61
1852,Kilifi,Coast,Kilifi,Kilifi,FALSE,,-3.63,39.85,64
1853,Kajiado,Rift Valley,Kajiado,Kajiado,FALSE,,-1.84,36.79,80
1854,Hola (Tana River),Coast,Tana River,Tana River,FALSE,,,,39
1855,Garissa,North Eastern,Garissa,Garissa,FALSE,,-0.46,39.65,59
3243,Dadaab town,North Eastern,Garissa,Garissa,TRUE,Dadaab,0.06,40.31,61
3244,Kalobeyei (Village 1),Rift Valley,Turkana,Turkana,TRUE,Kalobeyei,3.77,34.73,437
3245,Mogadishu (Kakuma),Rift Valley,Turkana,Turkana,TRUE,Kakuma,3.72,34.85,360
3246,Kalobeyei (Village 2),Rift Valley,Turkana,Turkana,TRUE,Kalobeyei,3.76,34.75,412
3247,Kalobeyei (Village 3),Rift Valley,Turkana,Turkana,TRUE,Kalobeyei,3.75,34.76,358
3248,Kakuma 2,Rift Valley,Turkana,Turkana,TRUE,Kakuma,3.75,34.82,430
3249,Kakuma 4,Rift Valley,Turkana,Turkana,TRUE,Kakuma,3.74,34.81,473
3250,HongKong (Kakuma),Rift Valley,Turkana,Turkana,TRUE,Kakuma,3.75,34.84,409
3251,Kakuma 3,Rift Valley,Turkana,Turkana,TRUE,Kakuma,3.77,34.82,550
3252,Dagahaley (Daadab),North Eastern,Garissa,Garissa,TRUE,Dadaab,0.19,40.29,455
3253,Ethiopia (Kakuma),Rift Valley,Turkana,Turkana,TRUE,Kakuma,3.72,34.85,369
3254,Hagadera (Daadab),North Eastern,Garissa,Garissa,TRUE,Dadaab,0.01,40.37,509
3255,IFO (Daadab),North Eastern,Garissa,Garissa,TRUE,Dadaab,0.11,40.32,509
3256,Kakuma town,Rift Valley,Turkana,Turkana,TRUE,Kakuma,3.71,34.86,18
3258,Kalokol,Rift Valley,Turkana,Turkana,FALSE,,3.54,35.86,54
3262,Isiolo town,Eastern,Isiolo,Isiolo,FALSE,,0.35,37.58,70
3263,El Wak,North Eastern,Mandera,Mandera,FALSE,,2.81,40.93,22
3266,Rhamu,North Eastern,Mandera,Mandera,FALSE,,3.93,41.22,39
3267,Takaba (Mandera),North Eastern,Mandera,Mandera,FALSE,,3.39,40.23,143
3269,Moyale town,Eastern,Moyale,Marsabit,FALSE,,3.51,39.05,21
3271,Wajir town,North Eastern,Wajir,Wajir,FALSE,,1.75,40.06,81
3355,Marigat town (Baringo),Rift Valley,Baringo,Baringo,FALSE,,0.47,35.98,292
3356,Garissa town (Garissa),North Eastern,Garissa,Garissa,FALSE,,-0.46,39.64,331
3357,Mandera town,North Eastern,Mandera,Mandera,FALSE,,3.94,41.85,29
3358,Marsabit town,Eastern,Marsabit,Marsabit,FALSE,,2.33,37.99,62
3359,Hola town,Coast,Tana River,Tana River,FALSE,,-1.5,40.03,55
3360,Lodwar town,Rift Valley,Turkana,Turkana,FALSE,,3.12,35.6,96
4235,Junda (Mombasa),Coast,Mombasa,Mombasa,FALSE,,-4.01,39.68,68
4236,Moroto (Mombasa),Coast,Mombasa,Mombasa,FALSE,,-4.03,39.66,58
4238,Bangladesh (Mombasa),Coast,Mombasa,Mombasa,FALSE,,-4.01,39.63,72
4239,Kalahari (Mombasa),Coast,Mombasa,Mombasa,FALSE,,-4.03,39.63,93
4242,Shonda (Mombasa),Coast,Mombasa,Mombasa,FALSE,,-4.11,39.65,59
4244,Shauri Yako,Coast,Mombasa,Mombasa,FALSE,,-4.04,39.69,27
4245,Kisumu Ndogo (Mombasa),Coast,Mombasa,Mombasa,FALSE,,-4.04,39.69,48
4525,Lpus,Rift Valley,Samburu,Samburu,FALSE,,0.89,37.06,22
4526,Kisima,Rift Valley,Samburu,Samburu,FALSE,,0.95,36.77,18
4528,Lengusaka,Rift Valley,Samburu,Samburu,FALSE,,0.88,37.32,13
4531,Lolkuniyani,Rift Valley,Samburu,Samburu,FALSE,,1.06,37.23,22
4532,Loosuk,Rift Valley,Samburu,Samburu,FALSE,,1.02,36.58,32
4533,Maralal,Rift Valley,Samburu,Samburu,FALSE,,1.1,36.7,36
4535,Suguta,Rift Valley,Samburu,Samburu,FALSE,,0.83,36.69,37
4536,Wamba,Rift Valley,Samburu,Samburu,FALSE,,0.98,37.32,37
4624,Mathare (Nairobi),Nairobi,Nairobi,Nairobi,FALSE,,-1.26,36.86,130
4625,Kawangware (Nairobi),Nairobi,Nairobi,Nairobi,FALSE,,-1.28,36.74,135
4626,Kangemi (Nairobi),Nairobi,Nairobi,Nairobi,FALSE,,-1.27,36.74,405
4627,Kibra (Nairobi),Nairobi,Nairobi,Nairobi,FALSE,,-1.32,36.78,127
4628,Dandora (Nairobi),Nairobi,Nairobi,Nairobi,FALSE,,-1.25,36.9,122
4629,Mukuru (Nairobi),Nairobi,Nairobi,Nairobi,FALSE,,-1.3,36.88,130
5664,Illbissil Food Market (Kajiado),Rift Valley,Kajiado,Kajiado,FALSE,,-2.1,36.79,101
5665,Tala Centre Market (Machakos),Eastern,Machakos,Machakos,FALSE,,-1.27,37.32,203
5666,Kathonzweni (Makueni),Eastern,Makueni,Makueni,FALSE,,-1.91,37.73,158
5667,Makueni,Eastern,Makueni,Makueni,FALSE,,-1.81,37.62,30
5668,Kaanwa (Tharaka Nithi),Eastern,Meru South,Tharaka-Nithi,FALSE,,-0.32,37.72,146
5669,Wakulima (Nakuru),Rift Valley,Nakuru,Nakuru,FALSE,,-0.3,36.08,304
5670,Karatina (Nyeri),Central,Nyeri,Nyeri,FALSE,,-0.48,37.13,194
5671,Kibuye (Kisumu),Nyanza,Kisumu,Kisumu,FALSE,,-0.09,34.77,217
5672,Kongowea (Mombasa),Coast,Mombasa,Mombasa,FALSE,,-4.06,39.66,145
5697,Kitengela (Kajiado),Nairobi,Nairobi,Nairobi,FALSE,,-1.29,36.86,261
5698,Wakulima (Nairobi),Nairobi,Nairobi,Nairobi,FALSE,,-1.29,36.83,96
5892,Kitui town (Kitui),Eastern,Kitui,Kitui,FALSE,,-1.36,38.01,54
5893,Vanga (Kwale),Coast,Kwale,Kwale,FALSE,,-4.66,39.22,4
5894,Lokichar (Turkana),Rift Valley,Turkana,Turkana,FALSE,,2.38,35.65,40
5896,Lomut (West Pokot),Rift Valley,West Pokot,West Pokot,FALSE,,1.44,35.57,118
5897,Makutano (West Pokot),Rift Valley,West Pokot,West Pokot,FALSE,,1.25,35.08,207
6109,Kalobeyei town,Rift Valley,Turkana,Turkana,TRUE,Kalobeyei,3.77,34.62,8
6218,Laisamis Town,Eastern,Marsabit,Marsabit,FALSE,,1.58,37.8,24
